제품범주2,플랜트,제조일자,중분류(보정),count
B2B 신선대용식,진천B2B생산,2021-06-28,토사류,1
미트편의식,진천)육가공,2021-06-28,식물성이물,1
스팸일반,진천)육가공,2021-06-28,포장불량,1
백미,진천BC,2021-06-28,성분,1
비엔나,진천BC,2021-06-28,합성수지류,1
비비고일반,진천BC,2021-06-28,포장불량,1
비비고 죽(용기),진천BC,2021-06-28,포장오류,1
비비고 죽(용기),진천BC,2021-06-28,기타,1
냉면,남원공장,2021-06-29,식물성이물,1
냉면,남원공장,2021-06-29,포장불량,1
잡곡,부산공장,2021-06-29,기타이물류,1
다시다 대물,부산공장,2021-06-29,기타이물류,1
잡곡,부산공장,2021-06-29,미생물,1
잡곡,부산공장,2021-06-29,미생물,1
잡곡,부산공장,2021-06-29,미생물,1
잡곡,부산공장,2021-06-29,미생물,1
백미,부산공장,2021-06-29,미생물,1
비비고 죽(파우치),부산공장,2021-06-29,식물성이물,1
다시다 대물,부산공장,2021-06-29,기타이물류,1
잡곡,부산공장,2021-06-29,미생물,1
국판조미김,씨푸드_이천,2021-06-29,동물성이물,1
국판당 소물,인천1)당,2021-06-29,벌레류,1
B2B 슬라이스,진천)육가공,2021-06-29,공정이물류,1
스팸일반,진천)육가공,2021-06-29,합성수지류,1
스팸일반,진천)육가공,2021-06-29,포장불량,1
스팸싱글,진천)육가공,2021-06-29,관능,1
스팸일반,진천)육가공,2021-06-29,포장불량,1
백미,진천BC,2021-06-29,기타,1
중식프라잉,진천BC,2021-06-29,동물성이물,1
고메피자(클래식),진천BC,2021-06-29,기타이물류,1
중식프라잉,진천BC,2021-06-29,동물성이물,1
비비고별미김치,경기농협 북파주,2021-06-30,관능,1
쌈장가정용,공주공장,2021-06-30,변화,1
일반 국물,교동,2021-06-30,중량수량미달,1
잡곡,부산공장,2021-06-30,미생물,1
잡곡,부산공장,2021-06-30,미생물,1
잡곡,부산공장,2021-06-30,미생물,1
잡곡,부산공장,2021-06-30,미생물,1
잡곡,부산공장,2021-06-30,미생물,1
잡곡,부산공장,2021-06-30,미생물,1
삼호부산,씨푸드_성남,2021-06-30,포장불량,1
수입콩두부,진천)두부,2021-06-30,인체이물류,1
스팸일반,진천)육가공,2021-06-30,기타이물류,1
스팸일반,진천)육가공,2021-06-30,포장불량,1
스팸일반,진천)육가공,2021-06-30,포장불량,1
스팸일반,진천)육가공,2021-06-30,포장불량,1
스팸일반,진천)육가공,2021-06-30,기타변질,1
스팸일반,진천)육가공,2021-06-30,성분,1
스팸기획,진천)육가공,2021-06-30,포장불량,1
비비고썰은김치,진천BC,2021-06-30,식물성이물,1
비비고 죽(파우치),진천BC,2021-06-30,합성수지류,1
비비고 죽(파우치),진천BC,2021-06-30,기타이물류,1
고메피자(클래식),진천BC,2021-06-30,곰팡이,1
B2B패티류,C&S (제당),2021-07-01,기타이물류,1
핫도그,C&S (제당),2021-07-01,합성수지류,1
된장가정용,공주공장,2021-07-01,합성수지류,1
쌈장가정용,공주공장,2021-07-01,변화,1
더비비고 국물요리,교동,2021-07-01,미생물,1
일반 국물,교동(HMR)_1공장,2021-07-01,합성수지류,1
군만두,남원공장,2021-07-01,인체이물류,1
굴소스,논산1공장,2021-07-01,기타,1
프리미엄 국물 사골,논산1공장,2021-07-01,관능,1
잡곡,부산공장,2021-07-01,미생물,1
백미,부산공장,2021-07-01,기타이물류,1
미니소시지,신라에스지,2021-07-01,곰팡이,1
미니소시지,신라에스지,2021-07-01,동물성이물,1
미니소시지,진천)육가공,2021-07-01,합성수지류,1
사각햄,진천BC,2021-07-01,동물성이물,1
비비고 한식반찬,진천BC,2021-07-01,동물성이물,1
비비고 한식반찬,진천BC,2021-07-01,합성수지류,1
비엔나,진천BC,2021-07-01,인체이물류,1
군만두,남원공장,2021-07-02,기타이물류,1
파스타소스,논산1공장,2021-07-02,기타이물류,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,곰팡이,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
잡곡,부산공장,2021-07-02,미생물,1
국판삼해김,삼해상사(김포),2021-07-02,관능,1
미니소시지,신라에스지,2021-07-02,기타변질,1
일반맛살,씨푸드_음성,2021-07-02,성분,1
고소함가득참기름,인천2)유,2021-07-02,관능,1
FV _ OEM,진천B2B생산,2021-07-02,합성수지류,1
국산콩두부,진천)두부,2021-07-02,성분,1
땡류,진천)육가공,2021-07-02,동물성이물,1
스팸일반,진천)육가공,2021-07-02,관능,1
B2B 스팸,진천)육가공,2021-07-02,포장불량,1
비비고썰은김치,진천BC,2021-07-02,식물성이물,1
치킨류,진천BC,2021-07-02,성분,1
중식프라잉,진천BC,2021-07-02,합성수지류,1
일반 한식반찬,진천BC,2021-07-02,합성수지류,1
비비고별미김치,경기농협 북파주,2021-07-03,관능,1
하선정절임류,두메,2021-07-03,인체이물류,1
잡곡,부산공장,2021-07-03,미생물,1
잡곡,부산공장,2021-07-03,미생물,1
잡곡,부산공장,2021-07-03,미생물,1
잡곡,부산공장,2021-07-03,미생물,1
잡곡,부산공장,2021-07-03,미생물,1
잡곡,부산공장,2021-07-03,미생물,1
일반국밥,부산공장,2021-07-03,합성수지류,1
잡곡,부산공장,2021-07-03,미생물,1
국판조미김,씨푸드_이천,2021-07-03,포장불량,1
업소전용유,인천3공장,2021-07-03,관능,1
워터젤리,진안공장,2021-07-03,기타,1
스팸일반,진천)육가공,2021-07-03,기타,1
스팸일반,진천)육가공,2021-07-03,합성수지류,1
스팸일반,진천)육가공,2021-07-03,인체이물류,1
더건강한 닭가슴살,진천BC,2021-07-03,동물성이물,1
더건강한 닭가슴살,진천BC,2021-07-03,동물성이물,1
비엔나,진천BC,2021-07-03,공정이물류,1
더건강한 닭가슴살,진천BC,2021-07-03,동물성이물,1
