product_cat2,mu,sigma,p90,p95,n,use_global
일반 국물 사골,128.44755244755245,103.53984256075528,280.6,377.9000000000001,143,False
일반 국물 삼계,125.17647058823529,82.2415633392534,201.0,317.84999999999997,34,False
일반 요리당,110.73889751552795,174.16509191903262,255.0,397.0,6,True
일반 한식반찬,89.79120879120879,86.57290854616829,163.0,290.5,91,False
일반국밥,114.17543859649123,72.82124781668853,222.7,261.35,114,False
일반덮밥,102.06666666666666,96.09437490763385,207.8,261.4,60,False
일반맛살,110.73889751552795,174.16509191903262,255.0,397.0,2,True
일반식초,110.73889751552795,174.16509191903262,255.0,397.0,2,True
자연건강,110.73889751552795,174.16509191903262,255.0,397.0,1,True
자일로스설탕,110.73889751552795,174.16509191903262,255.0,397.0,13,True
잡곡,100.2766439909297,168.34568048899885,175.0,219.0,441,False
저탄수,110.73889751552795,174.16509191903262,255.0,397.0,26,True
적전류,71.16504854368932,58.73605549650833,146.0,178.59999999999997,309,False
조미김,110.73889751552795,174.16509191903262,255.0,397.0,2,True
조미식초,110.73889751552795,174.16509191903262,255.0,397.0,1,True
주먹밥,78.84347826086956,51.12824307636254,146.60000000000002,177.7,115,False
주먹밥(미사용),110.73889751552795,174.16509191903262,255.0,397.0,6,True
죽(용기),110.97777777777777,57.009351626198196,173.8,219.79999999999995,45,False
죽(파우치),110.73889751552795,174.16509191903262,255.0,397.0,1,True
중식프라잉,66.69613259668509,51.73563735848333,140.0,168.0,181,False
직택배김치,110.73889751552795,174.16509191903262,255.0,397.0,3,True
진한참기름,258.05,223.98939148986497,551.6,651.9999999999999,40,False
쫄면,66.35,30.105273624400095,114.30000000000001,118.14999999999999,40,False
참치액,110.73889751552795,174.16509191903262,255.0,397.0,4,True
찹쌀엿,110.73889751552795,174.16509191903262,255.0,397.0,1,True
천일염,341.97058823529414,450.7120826956931,1131.6999999999996,1386.6499999999999,34,False
천일염허브맛솔트,110.73889751552795,174.16509191903262,255.0,397.0,1,True
초고추장가정용,110.73889751552795,174.16509191903262,255.0,397.0,25,True
츄러스,110.73889751552795,174.16509191903262,255.0,397.0,3,True
치즈피자(BC),110.73889751552795,174.16509191903262,255.0,397.0,22,True
치킨,66.50119047619047,54.68951321529223,129.20000000000005,174.04999999999995,840,False
치킨류,110.73889751552795,174.16509191903262,255.0,397.0,23,True
카놀라유,110.73889751552795,174.16509191903262,255.0,397.0,18,True
카놀라유가정용,110.73889751552795,174.16509191903262,255.0,397.0,5,True
카페 믹스,110.73889751552795,174.16509191903262,255.0,397.0,6,True
카페 소스,110.73889751552795,174.16509191903262,255.0,397.0,4,True
카페 시럽,110.73889751552795,174.16509191903262,255.0,397.0,28,True
칼국수,110.73889751552795,174.16509191903262,255.0,397.0,1,True
캔,110.73889751552795,174.16509191903262,255.0,397.0,20,True
캔(세트구성품),110.73889751552795,174.16509191903262,255.0,397.0,27,True
캔단독,110.73889751552795,174.16509191903262,255.0,397.0,4,True
캔복합세트,110.73889751552795,174.16509191903262,255.0,397.0,1,True
컵반 기타,110.73889751552795,174.16509191903262,255.0,397.0,2,True
케어플랜,110.73889751552795,174.16509191903262,255.0,397.0,2,True
코인육수,110.73889751552795,174.16509191903262,255.0,397.0,4,True
콩가공,110.73889751552795,174.16509191903262,255.0,397.0,15,True
콩나물,5.666666666666667,3.0037014202850156,9.0,10.099999999999994,30,False
쿠킹믹스,130.76,96.85051574462575,323.1,334.55,50,False
쿠킹오일,110.73889751552795,174.16509191903262,255.0,397.0,5,True
클래식피자(BC),110.73889751552795,174.16509191903262,255.0,397.0,10,True
통참깨참기름,110.73889751552795,174.16509191903262,255.0,397.0,5,True
튀김,110.73889751552795,174.16509191903262,255.0,397.0,6,True
튀김/전,110.73889751552795,174.16509191903262,255.0,397.0,6,True
튀김부침용,165.5909090909091,105.48100177537749,296.0,323.25,66,False
튀김전용가정용,110.73889751552795,174.16509191903262,255.0,397.0,3,True
특선세트,110.73889751552795,174.16509191903262,255.0,397.0,5,True
파스타,110.73889751552795,174.16509191903262,255.0,397.0,19,True
파스타소스,127.19047619047619,80.71886487923558,221.8,263.79999999999995,42,False
파우치 죽(일반),94.3,58.113624334860866,182.2000000000001,217.59999999999997,120,False
파우치 죽(프리미엄),105.45901639344262,63.74322818948006,211.0,240.0,61,False
편의형만두,110.73889751552795,174.16509191903262,255.0,397.0,4,True
포도씨가정용,110.73889751552795,174.16509191903262,255.0,397.0,5,True
포도씨유,110.73889751552795,174.16509191903262,255.0,397.0,20,True
푸드업사이클링 B2C 스낵,110.73889751552795,174.16509191903262,255.0,397.0,4,True
프레시웨이매입상품,110.73889751552795,174.16509191903262,255.0,397.0,2,True
프로틴두부,110.73889751552795,174.16509191903262,255.0,397.0,1,True
프리미엄 국물,99.63475177304964,68.96718768161736,191.9,236.95,282,False
프리미엄 국물 사골,110.73889751552795,174.16509191903262,255.0,397.0,29,True
프리미엄 냉동국물,110.73889751552795,174.16509191903262,255.0,397.0,28,True
프리미엄국밥,110.73889751552795,174.16509191903262,255.0,397.0,9,True
프리미엄덮밥,100.10344827586206,68.27497387092075,189.0,224.29999999999995,348,False
프리미엄식초,110.73889751552795,174.16509191903262,255.0,397.0,1,True
프리미엄피자(BC),110.73889751552795,174.16509191903262,255.0,397.0,3,True
플레인죽,110.73889751552795,174.16509191903262,255.0,397.0,5,True
피부건강,110.73889751552795,174.16509191903262,255.0,397.0,2,True
하선정다진마늘,110.73889751552795,174.16509191903262,255.0,397.0,2,True
하선정맛김치,110.73889751552795,174.16509191903262,255.0,397.0,2,True
하선정액젓가정용,110.73889751552795,174.16509191903262,255.0,397.0,27,True
하선정액젓업소용,110.73889751552795,174.16509191903262,255.0,397.0,11,True
하선정절임류,51.276923076923076,102.31422304199154,66.60000000000001,74.8,65,False
하선정찬류,49.549019607843135,56.97722755472703,75.0,140.5,51,False
하선정포기김치,110.73889751552795,174.16509191903262,255.0,397.0,13,True
한식 일품,110.73889751552795,174.16509191903262,255.0,397.0,9,True
한식 전골,110.73889751552795,174.16509191903262,255.0,397.0,4,True
한식반찬(백설/기타),110.73889751552795,174.16509191903262,255.0,397.0,22,True
한식반찬(백설/기타) [X],110.73889751552795,174.16509191903262,255.0,397.0,4,True
한식반찬(비비고),78.25925925925925,87.51321279821761,141.4000000000001,229.24999999999946,54,False
